Question		A	B	C	D	E
Дараах багажийн хувааруйн үнэ болон хэмжих хязгаарыг олно уу. (2 оноо)	1.5 mA, 4.0 mA	1.0 mA, 4.0 mA	0 mA, 4.0 mA	2.0 mA, 1.5mA	1.0 mA, 2.0 mA
Хөвтээ гадарга дээр хөдөлж байгаа биейин хурд - хугацааны хамаарлын график өгөгджээ. t = 6 с дараах биейин шилжилтийг олно уу. (2 оноо)	16 м	20 м	12 м	4 м	72 м
Массын төвүүд нь нэг шулуун дээр оршиж, m₁ = 8 кг, m₂ = 12 кг массгай хоёр бие хоорондоо 15 м зайд байрлана. Энэ системийн массын төв 1-р биеэс ямар зайд байх вэ? (2 оноо)	15 м	6 м	23 м	9 м	0.1 м
Зураг үзүүлснээр хаалганы барилуын эргэх тэнхлэгээс d зайтай цэгт босоо чиглэлтэй 30° өнцөг үүсгэх F хүчээр үйлчлэв. Энэ хүчний моментыг олно уу. (2 оноо)	Fd/2	Fd	Fd√3	Fd/√3	Fd√3/2
СИ систем дэх хүчний нэгж аль нь вэ? (1 оноо)	кг · м · с⁻²	кг · м · с⁻¹	кг · м² · с⁻²	кг · м² · с⁻³	кг · м⁻³ · с⁻²
Зураг өгөгдсөн хэмжээс бүхий налуу хавтгай дээр m массгай бие тайван байв. Биед үйлчлэх үрэлтийн хүчийг олно уу. Чөлөөт уналтын хурдатгал g. (2 оноо)	Fүр = mg √(a²+b²)/b	Fүр = mg b/√(a²+b²)	Fүр = mg a/√(a²+b²)	Fүр = mg √(a²+b²)/a	Fүр = mg a/b
Мөргөлдөхөөс өмнөх 1 дүгээр биеийн хөдөлгөөний тоо хэмжээг олно уу. (1 оноо)	P₁ = 16 кг·м/с	P₁ = 8 кг·м/с	P₁ = 12 кг·м/с	P₁ = 24 кг·м/с	P₁ = 4 кг·м/с
Мөргөлдөөний дараа бөмбөлгүүдийн харьцангуй хурд ямар байх вэ? (2 оноо)	2 м/с	12 м/с	4 м/с	6 м/с	16 м/с
Машин 10 м/с хурдтай хөдөлж байхад кинетик энерги 8·10⁴ Ж байсан бол машины массыг олно уу. (1 оноо)	3200 кг	800 кг	16000 кг	8000 кг	1600 кг
Бие B байрлалд хүрэх үед хүндийн хүчний хийсэн ажлыг олно уу. (2 оноо)	32 Ж	40 Ж	160 Ж	320 Ж	80 Ж
Бие C байрлалд очиход ямар хурдтай болсон байх вэ? (2 оноо)	4√5 м/с	√40 м/с	4√10 м/с	4√2 м/с	10 м/с
