Question	А	В	С	D	E
Дөрвөн мөчтөний дээд ангид хамаарах дараах ангиудын төлөөлөгчдийг зөв харгалзуулсан хувилбарыг сонгоно уу.	1a, 2b, 3c, 4d	1d, 2c, 3b, 4a	1c, 2d, 3b, 4a	1c, 2d, 3a, 4b	1b, 2d, 3c, 4a
Тодорхой газар нутагт тархан амьдардаг, гадаад болон дотоод шинж тэмдгээрээ ижил, хоорондоо үржилд орж, үржих чадвартай үр төл төрүүлдэг бүлэг организмыг ......... гэнэ.	Төрөл	Зүйл	Аймаг	Хүрээ	Баг
Шавжийн ангийн төлөөлөгчдөд тохирох шинжийг сонгоно уу.	2, 4, 6, 8	2, 3, 5, 7	1, 4, 6, 7	1, 3, 6, 8	2, 4, 5, 7
Бактер болон вирусын онцлог шинжүүдээс зөвхөн бактерт хамаарах шинжүүдийг зөв илэрхийлсэн хариултыг сонгоно уу.	2, 3, 5	1, 3, 5	2, 3, 6	1, 4, 5	1, 4, 6
Мөгөөрст загасны ангид тохирох шинжүүдийг сонгоорой.	1, 4, 5	1, 4, 6	1, 3, 6	2, 3, 6	2, 4, 5
Судлаач ойн нэгэн зүйлийн шавжийн популяцын хэмжээг тодорхойлохоор барих, тэмдэглэх, дахин барих аргаар судалгаа явуулжээ. Ойн шавжийн популяцын хэмжээг зөв тооцсон хариултыг сонгоорой.	1600	800	400	200	2000
Зөвхөн электрон микроскопын тусламжтай судлах боломжтой бүтцийг сонгоно уу.	1, 3	2, 3	1, 2	2, 4	3, 4
Зөвхөн ургамлын эсэд тохирох шинжийг сонгоно уу.	2, 4, 6	1, 3, 5	2, 3, 6	1, 4, 6	2, 3, 5
Нарийн гэдэснээс ялгарах энзим, тэдгээрийн задлах бодис болон задралын бүтээгдэхүүнийг зөв харгалзуулсан хувилбарыг сонгоно уу.	I-a-3, II-c-2, III-b-1	I-a-2, II-c-1, III-b-3	I-a-2, II-b-3, III-c-1	I-c-2, II-b-3, III-a-1	I-a-2, II-c-3, III-b-1
Энзимийн үйл ажиллагаанд температурын нөлөөг илрүүлэх туршилт явуулахаар 4 хуруу шил авч A, B, C, D үсгээр тэмдэглэсэн. Хуруу шилэнд үүссэн өнгөний өөрчлөлт, түүний шалтгааныг зөв тэмдэглэсэн мөрийг сонгоно уу.	1e, 2a, 3c, 4b, 5d	1c, 2b, 3a, 4e, 5d	1d, 2e, 3b, 4a, 5c	1b, 2a, 3e, 4c, 5d	1e, 2c, 3d, 4b, 5a
